1;1;Merkez;1250;Adana İhtisas
2;1;Merkez;1251;5 Ocak
3;1;Merkez;1252;Yüreğir
4;1;Merkez;1253;Seyhan
5;1;Merkez;1254;Ziyapaşa
6;1;Merkez;1255;Çukurova
7;1;Ceyhan;1201;Ceyhan
8;1;Kozan;1203;Kozan
9;1;Karataş;1205;Karataş
10;1;Feke;1103;Feke
11;1;Karaisalı;1105;Karaisalı
12;1;Pozantı;1109;Pozantı
13;1;Saimbeyli;1110;Saimbeyli
14;1;Tufanbeyli;1111;Tufanbeyli
15;1;Yumurtalık;1112;Yumurtalık
16;1;Aladağ;1114;Aladağ
17;1;İmamoğlu;1115;İmamoğlu
18;2;Merkez;2260;Adıyaman
19;2;Kahta;2261;Kahta
20;2;Besni;2101;Besni
21;2;Çelikhan;2102;Çelikhan
22;2;Gerger;2103;Gerger
23;2;Gölbaşı;2104;Gölbaşı
24;2;Samsat;2106;Samsat
25;2;Sincik;2107;Sincik
26;2;Tut;2108;Tut
27;3;Merkez;3201;Tınaztepe
28;3;Merkez;3280;Kocatepe
29;3;Dinar;3260;Dinar
30;3;Bolvadin;3261;Bolvadin
31;3;Emirdağ;3262;Emirdağ
32;3;Sandıklı;3263;Sandıklı
33;3;Çay;3202;Çay
34;3;Dazkırı;3103;Dazkırı
35;3;İhsaniye;3105;İhsaniye
36;3;Sinanpaşa;3107;Sinanpaşa
37;3;Sultandağı;3108;Sultandağı
38;3;Şuhut;3109;Şuhut
39;3;Başmakçı;3111;Başmakçı
40;3;Bayat;3112;Bayat
41;3;İscehisar;3264;İscehisar
42;3;Çobanlar;3114;Çobanlar
43;3;Evciler;3115;Evciler
44;3;Hocalar;3116;Hocalar
45;3;Kızılören;3117;Kızılören
46;4;Merkez;4260;Ağrı
47;4;Doğubeyazıt;4261;Doğubeyazıt
48;4;Patnos;4262;Patnos
49;4;Diyadin;4101;Diyadin
50;4;Eleşkirt;4103;Eleşkirt
51;4;Hamur;4104;Hamur
52;4;Taşlıçay;4106;Taşlıçay
53;4;Tutak;4107;Tutak
54;5;Merkez;5260;Amasya
55;5;Merzifon;5261;Merzifon
56;5;Gümüşhacıköy;5262;Gümüşhacıköy
57;5;Taşova;5263;Taşova
58;5;Suluova;5264;Suluova
59;5;Göynücek;5101;Göynücek
60;5;Hamamözü;5106;Hamamözü
61;6;Merkez;6280;Anadolu İhtisas
62;6;Merkez;6281;Ankara İhtisas
63;6;Merkez;6253;Kavaklıdere
64;6;Merkez;6268;Hitit
65;6;Merkez;6271;Ostim
66;6;Merkez;6252;Veraset ve Harçlar
67;6;Merkez;6254;Maltepe
68;6;Merkez;6255;Yenimahalle
69;6;Merkez;6257;Çankaya
70;6;Merkez;6258;Kızılbey
71;6;Merkez;6259;Mithatpaşa
72;6;Merkez;6260;Ulus
73;6;Merkez;6261;Yıldırım Beyazıt
74;6;Merkez;6262;Seğmenler
75;6;Merkez;6264;Dikimevi
76;6;Merkez;6265;Doğanbey
77;6;Merkez;6266;Yeğenbey
78;6;Merkez;6269;Yahya Galip
